PID,Price,PName,Unit
845,56.81,drodriguezng,XAF
846,51.64,bwallacenh,PEN
847,2.86,csullivanni,HRK
848,84.55,amartinnj,CNY
849,96.96,rcampbellnk,RUB
850,64.21,pphillipsnl,THB
851,16.02,gperrynm,USD
852,31.38,mpiercenn,EUR
853,58.0,mthompsonno,NPR
854,90.46,kromeronp,GNF
855,82.06,cclarknq,CZK
856,46.11,hmorrisonnr,EUR
857,72.19,dwalkerns,CAD
858,56.0,vbishopnt,EUR
859,19.64,imorrisonnu,CNY
860,67.45,gaustinnv,BRL
861,94.66,ddixonnw,EUR
862,45.42,dcooknx,PLN
863,76.23,areynoldsny,CNY
864,11.98,ljacksonnz,SEK
865,39.31,bmyerso0,PLN
866,78.65,lweavero1,EUR
867,29.36,rsimmonso2,JPY
868,77.45,rolivero3,CNY
869,95.36,asnydero4,SEK
870,47.16,rshawo5,CNY
871,55.28,kstewarto6,EUR
872,45.86,rmedinao7,PLN
873,88.3,jhanseno8,EUR
874,26.82,cshawo9,EUR
875,19.15,jtorresoa,IDR
876,59.65,sellisob,BRL
877,5.07,drogersoc,EUR
878,48.27,amorenood,IDR
879,50.15,efulleroe,SEK
880,20.06,smendozaof,IDR
881,84.38,ndunnog,CNY
882,84.99,mwilliamsonoh,SEK
883,91.15,bbarnesoi,PHP
884,5.75,rgutierrezoj,PEN
885,33.55,mcampbellok,IDR
886,87.28,dwatkinsol,EUR
887,52.44,vcarrollom,CNY
888,81.01,mjacksonon,IDR
889,66.34,lalexanderoo,BAM
890,93.24,hreyesop,EUR
891,40.31,dwagneroq,PLN
892,50.73,jbakeror,CNY
893,85.2,dgriffinos,PHP
894,94.83,jgarciaot,LTL
895,63.27,rhendersonou,VND
896,6.34,holiverov,XAF
897,74.98,swatsonow,CNY
898,32.3,alawrenceox,PHP
899,61.2,lwatkinsoy,PHP
900,55.4,aortizoz,RUB
901,57.56,dmasonp0,IRR
902,87.52,carmstrongp1,PHP
903,9.45,candrewsp2,CNY
904,49.94,rreedp3,THB
905,3.44,lcastillop4,XAF
906,91.6,acarterp5,IDR
907,41.96,pcoxp6,IDR
908,92.65,gturnerp7,PHP
909,2.12,hhenryp8,LYD
910,88.92,hberryp9,THB
911,8.46,drobinsonpa,RUB
912,94.2,llongpb,GTQ
913,3.82,dandrewspc,IDR
914,86.36,mwheelerpd,THB
915,31.4,aramospe,IDR
916,66.79,aramospf,EUR
917,80.4,vporterpg,PHP
918,18.55,rjordanph,PLN
919,84.16,amasonpi,BOB
920,36.69,mgardnerpj,CNY
921,96.37,pgarciapk,NAD
922,28.52,wjohnstonpl,CNY
923,66.27,whuntpm,CNY
924,70.2,dholmespn,PEN
925,71.8,laustinpo,PKR
926,67.93,gsanchezpp,AMD
927,59.64,rmatthewspq,DOP
928,80.71,twilliamsonpr,CNY
929,99.81,cgrantps,USD
930,71.26,areedpt,RUB
931,22.96,rfoxpu,EUR
932,54.13,cfordpv,CNY
933,86.81,sfreemanpw,VEF
934,75.72,sfernandezpx,CNY
935,84.43,aflorespy,EUR
936,34.01,jpricepz,IDR
937,61.78,kmarshallq0,UAH
938,4.72,swatsonq1,EUR
939,84.57,jgonzalezq2,PLN
940,60.55,aallenq3,SYP
941,8.08,dsimmonsq4,MNT
942,16.26,tjamesq5,UAH
943,30.03,lkimq6,IDR
944,35.17,wmccoyq7,EUR
945,84.74,vhicksq8,CNY
946,40.79,ccrawfordq9,PLN
947,25.12,kcollinsqa,RUB
948,97.71,dholmesqb,QAR
949,59.99,jrobertsonqc,PLN
950,7.92,hbrownqd,EUR
951,85.06,jcastilloqe,SDG
952,81.45,anguyenqf,ALL
953,26.73,sortizqg,RUB
954,70.03,awelchqh,CNY
955,42.6,jrileyqi,IDR
956,93.18,kmartinqj,EUR
957,24.36,rmcdonaldqk,CNY
958,91.32,ccarterql,LYD
959,1.44,pbaileyqm,RUB
960,53.0,kalvarezqn,CNY
961,64.71,bevansqo,EUR
962,24.18,abakerqp,ARS
963,83.08,vgonzalezqq,ZAR
964,40.52,chansonqr,SEK
965,68.52,mcrawfordqs,BRL
966,37.2,mwestqt,IDR
967,97.26,jtorresqu,RUB
968,92.52,jperkinsqv,IDR
969,56.1,rromeroqw,YER
970,11.46,dortizqx,UAH
971,97.49,jknightqy,USD
972,44.54,lwalkerqz,CAD
973,88.31,cwestr0,XAF
974,39.86,cstewartr1,COP
975,91.7,kramirezr2,MYR
976,14.0,srobertsonr3,CNY
977,8.77,mcooperr4,EUR
978,34.57,rsimpsonr5,CNY
979,83.28,jgarrettr6,PHP
980,15.49,sgreener7,EUR
981,94.46,gporterr8,XPF
982,85.46,mrobinsonr9,RUB
983,43.78,crogersra,PEN
984,15.15,cclarkrb,ARS
985,80.39,arayrc,RUB
986,25.52,aboydrd,PHP
987,51.5,bsnyderre,VEF
988,44.77,ccastillorf,DOP
989,23.58,nhicksrg,PHP
990,75.42,rmorrisrh,IDR
991,33.79,lbakerri,PHP
992,12.47,rwrightrj,VND
993,2.3,djamesrk,CNY
994,77.23,ksmithrl,SEK
995,24.29,rjacobsrm,IRR
996,80.77,jowensrn,CNY
997,97.06,awebbro,CNY
998,39.85,mbaileyrp,NGN
999,5.97,cfloresrq,UAH
1000,77.82,sbellrr,CNY
